User: NEW USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\NEW USER\Data\,,
Test ID: 346,,
Test Name: Luka_Na_Fluorescein,,
Date: 17/03/2024,,
Time: 1:42:08 PM,,
ID1: Plate 3,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (490-8/520-8)
A01,Sample X1,122096
A02,Sample X2,119755
A03,Sample X3,119395
A04,Sample X4,120325
A05,Sample X5,119347
A06,Sample X6,118122
A07,Sample X7,91482
A08,Sample X8,91451
A09,Sample X9,91251
A10,Sample X10,94748
A11,Sample X11,93097
A12,Sample X12,94328
B01,Sample X13,99719
B02,Sample X14,99914
B03,Sample X15,99056
B04,Sample X16,116590
B05,Sample X17,115720
B06,Sample X18,115553
B07,Sample X19,100536
B08,Sample X20,101584
B09,Sample X21,102238
B10,Sample X22,117032
B11,Sample X23,117706
B12,Sample X24,117136
C01,Sample X25,101809
C02,Sample X26,101898
C03,Sample X27,103176
C04,Sample X28,124423
C05,Sample X29,123384
C06,Sample X30,124933
C07,Sample X31,103623
C08,Sample X32,104407
C09,Sample X33,104285
C10,Sample X34,114285
C11,Sample X35,111669
C12,Sample X36,115411
D01,Sample X37,104095
D02,Sample X38,103736
D03,Sample X39,103609
D04,Sample X40,115831
D05,Sample X41,116691
D06,Sample X42,116099
D07,Sample X43,95641
D08,Sample X44,94667
D09,Sample X45,94746
D10,Sample X46,92509
D11,Sample X47,91848
D12,Sample X48,91486
E01,Sample X49,99494
E02,Sample X50,97576
E03,Sample X51,97308
E04,Sample X52,103338
E05,Sample X53,101134
E06,Sample X54,102811
E07,Sample X55,92257
E08,Sample X56,91405
E09,Sample X57,91870
E10,Sample X58,108695
E11,Sample X59,105196
E12,Sample X60,107351
F01,Sample X61,114322
F02,Sample X62,113713
F03,Sample X63,114452
F04,Sample X64,94487
F05,Sample X65,93079
F06,Sample X66,93016
F07,Sample X67,127507
F08,Sample X68,124963
F09,Sample X69,124346
F10,Sample X70,121844
F11,Sample X71,121248
F12,Sample X72,120059
G01,Sample X73,105888
G02,Sample X74,108271
G03,Sample X75,104220
G04,Sample X76,118062
G05,Sample X77,115646
G06,Sample X78,118159
G07,Sample X79,102414
G08,Sample X80,104930
G09,Sample X81,101273
G10,Sample X82,117912
G11,Sample X83,116703
G12,Sample X84,115074
H01,Sample X85,124765
H02,Sample X86,124618
H03,Sample X87,124844
H04,Sample X88,96699
H05,Sample X89,99504
H06,Sample X90,98267
H07,Sample X91,210
H08,Sample X92,10994
H09,Sample X93,23769
H10,Sample X94,57229
H11,Sample X95,115552
H12,Sample X96,230355